Carolina Herrera;S;212;100;30,24
Carolina Herrera;S;212;60;28
Cerutti;S;1881;50;29,12
Cerutti;S;1881;100;34,72
Cerutti;S;1881 Summer;100;29,12
Carolina Herrera;S;212 kompl somiņā;105;14
Carolina Herrera;V;212 Men;100;32,48
Carolina Herrera;V;212 Men On Ice;100;29,12
Carolina Herrera;S;212 On Ice Orange new;60;34,72
Carolina Herrera;S;212 Sexy;100;35,84
Carolina Herrera;S;212 Sexy;60;32,48
Carolina Herrera;S;212 Sexy;30;23,52
Elizabeth Arden;S;5-th Avenue;125;31,36
Elizabeth Arden;S;5-th Avenue;75;28
Elizabeth Arden;S;5-th Avenue;30;19,04
Elizabeth Arden;S;5-th Avenue;15;12,32
Giorgio Armani;S;Acqua di Gio;100;32,48
Giorgio Armani;V;Acqua di Gio;100;36,96
Rochas;S;Alchimie;50;24,64
Chanel;V;Allure;100;41,44
Chanel;S;Allure EDP;50;44,8
Chanel;V;Allure Sport;100;41,44
Givenchy;S;Amarige;50;22,4
Cerutti;V;Amber 1881;100;26,88
Cacharel;S;Amor Amor;100;38,08
Cacharel;S;Amor Amor;50;31,36
Cacharel;S;Anais;100;24,64
Cacharel;S;Anais Anais;100;26,88
Thierry Mugler;S;Angel;25;33,6
Thierry Mugler;S;Angel Innocent;75;33,6
Thierry Mugler;V;Angel Men;100;36,96
Salvador Dali Parfums;S;Angelic Pink;50;23,52
Anna Yake;S;Anna Yake;100;33,6
Ungaro;S;Apparition;50;31,36
Ungaro;S;Apparition;90;36,96
Ungaro;S;Apparition;30;25,76
Giorgio Armani;S;Aqua di Gio;100;39,2
Laura Biagotti;V;Aqua di Roma;125;29,12
Laura Biagotti;V;Aqua di Roma;150;13,44
Bvlgari;V;Aqua Men;100;34,72
Rochas;S;Aquawoman;50;24,64
Rochas;S;Aquawoman;100;30,24
Giorgio Armani;S;Armani Emporio She;50;25,76
Emporio Armani;V;Armani Night;50;23,52
Emporio Armani;V;Armani Night;100;36,96
Lancome;S;Attraction;50;33,6
Yves Saint Laurent;S;Baby Doll;30;20,16
Yves Saint Laurent;S;Baby Doll;50;29,12
Hugo Boss;V;Baldessarini;75;31,92
Hugo Boss;V;Baldessarini conc.;75;32,48
Christian Lacroix;S;Bazar;50;22,4
Christian Lacroix;S;Bazar;100;29,12
Christian Lacroix;V;Bazar Pour Homme;100;25,76
Donna Karan;V;Be Delicious;50;32,48
Elizabeth Arden;S;Beauty;100;28
Elizabeth Arden;S;Beauty;30;15,68
Estee Lauder;S;Beyond Paradise;100;35,84
Giorgio Armani;V;Black Code;75;39,2
Giorgio Armani;V;Black Code;50;31,36
Ralph Lauren;S;Blue;125;33,6
Dunhill;V;Blue Desire;100;29,12
Dunhill;V;Blue Desire;50;21,28
Givenchy;V;Blue Label;100;36,96
Givenchy;V;Blue Label;50;28
Bvlgari;S;BLV;75;29,12
Bvlgari;V;BLV;50;20,16
Yves Saint Laurent;V;Body Kouros;100;29,12
Hugo Boss;V;Boss in motion;90;28
Hugo Boss;V;Boss in motion;150;14,56
Hugo Boss;V;Boss in motion;200;14,56
Hugo Boss;V;Boss in motion blue;90;30,24
Hugo Boss;V;Boss in Motion green new;90;33,6
Hugo Boss;S;Boss Intense;90;31,36
Hugo Boss;S;Boss Intense Shimmer;90;31,36
Hugo Boss;V;Boss №6;100;28
Hugo Boss;V;Boss Soul new;150;14,56
Hugo Boss;V;Boss Soul new;90;33,6
Hugo Boss;S;Boss Woman;90;29,12
Burberry Parfums;S;Burberry Brit;100;30,8
Burberry Parfums;V;Burberry Brit;100;31,36
Burberry Parfums;S;Burberry Brit Red;100;28
Burberry Parfums;S;Burberry London;100;25,76
Burberry Parfums;S;Burberry London;200;12,32
Burberry Parfums;V;Burberry London;100;23,52
Burberry Parfums;S;Burberry Touch;50;23,52
Burberry Parfums;V;Burberrys Weekend;100;22,4
Dolce&Gabbana;S;By;50;29,12
Dolce&Gabbana;V;By;100;32,48
Carolina Herrera;S;Carolina;100;29,12
Carolina Herrera;S;Carolina Herrera;25;19,04
Castelbajac;S;Castelbajac;50;25,76
Guerlain;S;Champs Elisees;100;25,76
Chanel;S;Chance EDT;50;41,44
Chanel;S;Chanel No.5 EDP;50;45,92
Chanel;S;Chanel No.5 EDT;50;41,44
Chaumet;S;Chaumet;50;19,04
Chaumet;V;Chaumet pour Homme;50;19,04
Moschino;S;Cheap and Chic ;50;22,4
Carolina Herrera;S;Chic;80;29,12
Carolina Herrera;S;Chic;50;25,76
Carolina Herrera;S;Chic;25;19,04
Carolina Herrera;V;Chic for men;100;35,84
Carolina Herrera;V;Chic for men;75;20,16
Cindy Crawford;S;Cindy Crawford;50;17,92
Yves Saint Laurent;S;Cinema;50;33,6
Yves Saint Laurent;S;Cinema;90;35,84
J.P.Gaultier;S;Classique;100;34,72
J.P.Gaultier;S;Classique Summer Fragrance;100;32,48
Chanel;S;Coco Mademoiselle EDP;50;47,04
Chanel;S;Coco Mademoiselle EDT;50;41,44
Calvin Klein;S;Contradiction;20;17,92
Calvin Klein;S;Contradiction;50;29,12
